Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetI/r201.txt;0;1000000.000000;true;0.000000;1;1213.764;1213.764;1213.764;260;315;630;7130;1479;735.342;164581.584;185.000;1536.000;1795.227;171383.489;168349.532;171384;0.000;0.000;1587.800;-374.036;0.000;false;1213.306
/SetI/r202.txt;0;1000000.000000;false;-1.000000;5;1069.968;1073.628;1000000.000;907;696;1392;18374;1063;6004.251;3379986.126;138.000;1410.000;208385.756;706356.862;3629664.720;3633621;933.608;930.422;1530.800;998469.200;-1.000;false;-1.000
/SetI/r203.txt;0;1000000.000000;false;-1.000000;1;961.685;961.685;1000000.000;450;390;780;15534;207;2570.143;3457976.034;301.000;80.000;139488.604;2239700.785;3607517.690;3613135;1038.841;1038.841;1255.100;998744.900;-1.000;false;-1.000
/SetI/r204.txt;0;1000000.000000;false;-1.000000;1;-1000000000000.000;0.000;1000000.000;109;113;226;3170;41;117.359;2034582.110;0.000;0.000;0.000;2053974.067;2048914.113;2056058;-1.000;10000000.0;1191.700;998808.300;-1.000;false;-1.000
/SetI/r205.txt;0;1000000.000000;false;-1.000000;9;1031.089;1047.728;1000000.000;1472;1122;2244;29304;1983;4967.088;3350889.811;1622.000;10173.000;258686.465;443180.943;3672179.117;3675925;968.849;953.446;1319.100;998680.900;-1.000;false;-1.000
/SetI/r206.txt;0;1000000.000000;false;-1.000000;3;957.719;965.148;1000000.000;693;555;1110;17535;711;3733.047;3288715.802;489.000;3602.000;457674.558;1085150.143;3776662.562;3781292;1043.148;1035.111;1228.300;998771.700;-1.000;false;-1.000
/SetI/r207.txt;0;1000000.000000;false;-1.000000;1;-1000000000000.000;0.000;1000000.000;56;57;114;1683;41;362.609;812951.203;0.000;0.000;0.000;818909.932;813689.909;819407;-1.000;10000000.0;1140.200;998859.800;-1.000;false;-1.000
/SetI/r208.txt;0;1000000.000000;false;-1.000000;1;777.297;777.297;1000000.000;236;258;516;7345;357;1118.955;3502932.504;1034.000;127.000;125610.341;3637513.745;3630173.893;3637535;1285.510;1285.510;1050.200;998949.800;-1.000;false;-1.000
/SetI/r209.txt;0;1000000.000000;false;-1.000000;1;399.238;399.238;1000000.000;83;87;174;2623;41;69.229;850408.797;0.000;0.000;0.000;857946.701;853701.299;858175;2503.773;2503.773;1258.700;998741.300;-1.000;false;-1.000
/SetI/r210.txt;0;1000000.000000;false;-1.000000;7;977.613;994.279;1000000.000;1155;869;1738;25461;1829;5823.646;3282909.088;1329.000;5810.000;320818.706;1020182.817;3664835.370;3669175;1021.900;1004.754;1279.800;998720.200;-1.000;false;-1.000
/SetI/r211.txt;0;1000000.000000;false;-1.000000;1;864.441;864.441;1000000.000;306;214;428;7798;249;1656.192;3419652.854;341.000;35.000;292939.667;2757346.643;3719123.902;3727047;1155.817;1155.817;1118.200;998881.800;-1.000;false;-1.000
/SetI/rc201.txt;0;1000000.000000;true;0.000000;1;1129.362;1129.362;1129.362;213;248;496;5671;838;280.092;12016.075;108.000;367.000;171.045;13104.642;12736.243;13105;0.000;0.000;1787.600;-658.238;0.000;false;1127.916
/SetI/rc202.txt;0;1000000.000000;true;0.000000;3;1047.549;1050.997;1050.997;459;426;852;14823;1831;2039.550;193057.701;369.000;2182.000;10477.742;140684.744;208696.858;209228;0.003;-0.000;1513.800;-462.803;0.000;false;1049.551
/SetI/rc203.txt;0;1000000.000000;true;0.000000;11;959.501;989.086;989.086;2226;1982;3964;85490;5395;10590.448;1096328.791;978.000;5721.000;82871.012;238525.728;1203049.568;1203576;0.031;0.000;1416.200;-427.114;541.000;false;987.556
/SetI/rc205.txt;0;1000000.000000;true;0.000000;1;1063.699;1063.699;1063.699;163;175;350;5423;235;154.441;30705.677;12.000;51.000;683.234;31888.759;31489.492;31889;0.000;0.000;1693.700;-630.001;0.000;false;1062.253
/SetI/rc206.txt;0;1000000.000000;true;0.000000;3;1033.216;1042.111;1042.111;824;826;1652;34147;2802;6044.567;341924.734;546.000;3994.000;7998.806;224563.687;358320.685;358790;0.009;0.000;1583.100;-540.989;0.000;false;1040.665
/SetI/rc207.txt;0;1000000.000000;true;0.000000;37;951.550;983.269;983.269;6123;5219;10438;199726;25997;290334.425;2110866.369;7670.000;30987.000;559237.747;112072.119;2891063.488;2891510;0.033;0.000;1449.800;-466.531;92.000;false;981.823
