Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetH/c101.txt;0;1000000.000000;true;0.000000;37;1755.885;1786.336;1786.336;3374;2663;5326;181786;12287;14506.391;132023.292;4150.000;2058.000;20839.638;13672.515;189441.596;190158;0.017;0.000;2022.400;-236.064;486.000;false;1784.329
/SetH/c102.txt;0;1000000.000000;true;0.000000;13;1719.530;1740.690;1740.690;1738;1528;3056;63751;7869;15767.929;288613.070;2284.000;2426.000;23781.395;51978.849;338725.688;339614;0.012;0.000;1947.600;-206.910;1040.000;false;1738.682
/SetH/c103.txt;0;1000000.000000;true;0.000000;27;1632.118;1657.763;1657.763;3797;3307;6614;199015;26347;77229.058;1067852.347;14686.000;15137.000;154112.518;107835.995;1334118.815;1335322;0.016;0.000;1880.700;-222.937;707.000;false;1655.755
/SetH/c104.txt;0;1000000.000000;true;-1.000000;27;1547.323;1575.187;1583.005;4598;4309;8618;111312;25630;109778.233;2022066.153;11568.000;12679.000;1458419.791;141317.434;3601004.177;3602603;0.023;0.005;1811.100;-228.095;0.000;false;1580.997
/SetH/c105.txt;0;1000000.000000;true;0.000000;3;1682.023;1705.281;1705.281;374;345;690;11935;1509;644.360;17458.554;140.000;149.000;2726.429;10508.581;22652.026;23403;0.014;0.000;1934.000;-228.719;516.000;false;1703.273
/SetH/c106.txt;0;1000000.000000;true;0.000000;35;1715.863;1748.757;1748.757;4160;3462;6924;212137;19795;42394.359;320659.039;12489.000;4612.000;33872.777;19370.329;421966.600;422725;0.019;0.000;1945.000;-196.243;1294.000;false;1746.531
/SetH/c107.txt;0;1000000.000000;true;0.000000;45;1691.141;1709.711;1709.711;4345;3281;6562;163215;10030;19421.738;115132.129;3887.000;1470.000;14758.710;26570.225;169739.830;170543;0.011;0.000;1888.900;-179.189;267.000;false;1707.703
/SetH/c108.txt;0;1000000.000000;true;0.000000;69;1667.474;1699.218;1699.218;8721;7308;14616;361535;46218;279855.119;1141682.324;42500.000;15461.000;171338.295;51119.994;1611914.443;1612761;0.019;0.000;1875.300;-176.082;195.000;false;1697.210
/SetH/c109.txt;0;1000000.000000;false;-1.000000;35;1616.783;1631.431;1000000.000;7179;6848;13696;361901;26116;186854.628;3146371.224;11533.000;15317.000;257380.165;80007.970;3603713.019;3604665;617.512;611.959;1863.100;998136.900;-1.000;false;-1.000
