Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetH/c101.txt;0;1000000.000000;true;0.000000;1;595.922;595.922;595.922;54;68;136;1294;489;72.538;188.301;46.000;22.000;81.902;417.320;343.695;417;0.000;0.000;2022.400;-1426.478;0.000;false;594.476
/SetH/c102.txt;0;1000000.000000;true;0.000000;3;566.070;584.640;584.640;330;294;588;16339;990;530.452;2424.965;54.000;127.000;818.006;1437.145;5166.502;5248;0.033;0.000;1947.600;-1362.960;0.000;false;583.194
/SetH/c103.txt;0;1000000.000000;true;0.000000;3;551.636;566.308;566.308;345;298;596;10795;1056;419.913;3252.646;54.000;110.000;410.186;1600.788;5277.681;5366;0.027;0.000;1880.700;-1314.392;0.000;false;564.862
/SetH/c104.txt;0;1000000.000000;true;0.000000;3;542.623;560.000;560.000;306;257;514;9709;720;319.744;3405.837;134.000;88.000;599.515;1921.663;4992.429;5090;0.032;-0.000;1811.100;-1251.100;0.000;false;558.554
/SetH/c105.txt;0;1000000.000000;true;0.000000;1;595.922;595.922;595.922;73;88;176;2086;225;78.073;244.003;0.000;9.000;156.098;494.603;419.530;495;0.000;0.000;1934.000;-1338.078;0.000;false;594.476
/SetH/c106.txt;0;1000000.000000;true;0.000000;1;595.922;595.922;595.922;34;39;78;3499;41;65.013;119.261;0.000;0.000;26.863;251.540;177.091;251;0.000;0.000;1945.000;-1349.078;0.000;false;594.476
/SetH/c107.txt;0;1000000.000000;true;0.000000;1;590.642;590.642;590.642;77;96;192;1875;369;79.857;301.516;3.000;24.000;192.522;608.992;577.325;653;0.000;0.000;1888.900;-1298.258;0.000;false;589.196
/SetH/c108.txt;0;1000000.000000;true;0.000000;1;581.968;581.968;581.968;103;124;248;1962;1028;103.330;620.792;114.000;102.000;301.353;1239.558;1159.639;1240;-0.000;-0.000;1875.300;-1293.332;0.000;false;580.521
/SetH/c109.txt;0;1000000.000000;true;0.000000;3;557.526;565.007;565.007;163;180;360;8598;227;112.667;881.740;12.000;11.000;318.529;577.019;1752.874;1834;0.013;0.000;1863.100;-1298.093;0.000;false;563.561
