Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetI/r201.txt;0;1000000.000000;false;-1.000000;1;1444.315;1444.315;1000000.000;673;665;1330;20227;1167;5225.733;3430364.222;1304.000;7041.000;112220.338;2533839.665;3578671.478;3606203;691.370;691.370;1587.800;998412.200;-1.000;false;-1.000
/SetI/r209.txt;0;1000000.000000;false;-1.000000;1;-1000000000000.000;0.000;1000000.000;1;1;2;30;119;0.142;150823.086;0.000;0.000;0.000;952941.993;155808.547;953012;-1.000;1000000;1258.700;998741.300;-1.000;false;-1.000
/SetI/r211.txt;0;1000000.000000;false;-1.000000;1;-1000000000000.000;0.000;1000000.000;1;1;2;30;119;0.140;249420.088;0.000;0.000;0.000;1057452.824;254853.990;1057480;-1.000;1000000;1118.200;998881.800;-1.000;false;-1.000
/SetI/rc201.txt;0;1000000.000000;false;-1.000000;1;1527.653;1527.653;1000000.000;509;470;940;12565;777;2319.955;3121571.513;421.000;2515.000;138916.167;2628438.967;3286921.541;3759452;653.599;653.599;1787.600;998212.400;-1.000;false;-1.000
