Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetH/c101.txt;0;1000000.000000;true;0.000000;3;1246.046;1258.715;1258.715;315;288;576;14610;1046;351.240;2156.736;136.000;86.000;1179.634;1549.108;4593.888;4730;0.010;-0.000;2022.400;-763.685;0.000;false;1256.811
/SetH/c102.txt;0;1000000.000000;true;0.000000;1;1203.018;1203.018;1203.018;127;149;298;3193;402;103.231;2369.469;1.000;35.000;172.906;2777.317;2604.434;2779;0.000;0.000;1947.600;-744.582;0.000;false;1201.115
/SetH/c103.txt;0;1000000.000000;true;0.000000;3;1166.895;1172.579;1172.579;438;405;810;18524;887;775.381;15768.731;93.000;127.000;1797.229;7038.471;19819.649;20040;0.005;-0.000;1880.700;-708.121;0.000;false;1170.675
/SetH/c104.txt;0;1000000.000000;true;0.000000;5;1118.158;1140.779;1140.779;953;897;1794;27232;2159;3273.237;57240.514;217.000;491.000;7896.013;12033.140;71048.949;71310;0.020;0.000;1811.100;-670.321;0.000;false;1138.876
/SetH/c105.txt;0;1000000.000000;true;0.000000;3;1218.360;1220.669;1220.669;313;265;530;8940;419;230.590;1781.867;31.000;29.000;388.648;1163.072;2720.618;2862;0.002;0.000;1934.000;-713.331;0.000;false;1218.765
/SetH/c106.txt;0;1000000.000000;true;0.000000;5;1240.153;1256.917;1256.917;696;636;1272;21004;2183;1499.037;8718.387;575.000;264.000;1195.266;2185.318;13408.161;13533;0.014;-0.000;1945.000;-688.083;0.000;false;1255.013
/SetH/c107.txt;0;1000000.000000;true;0.000000;3;1193.703;1200.169;1200.169;282;302;604;10909;464;253.110;2491.322;55.000;40.000;434.360;1460.156;3653.986;3805;0.005;0.000;1888.900;-688.731;0.000;false;1198.265
/SetH/c108.txt;0;1000000.000000;true;0.000000;3;1185.815;1192.904;1192.904;399;370;740;13150;1096;651.134;6612.666;174.000;122.000;964.623;3383.716;8963.625;9122;0.006;-0.000;1875.300;-682.396;0.000;false;1191.001
/SetH/c109.txt;0;1000000.000000;true;0.000000;5;1141.139;1157.805;1157.805;660;569;1138;19853;1751;1269.570;11453.719;247.000;225.000;1736.748;3156.380;16672.046;16829;0.015;-0.000;1863.100;-705.295;0.000;false;1155.902
