Instance;Phase;InitUB;FeasibleFinalSolution;bcFailToSolveModel;bcCountNodeProc;bcRecRootDb;bcRecBestDb;bcRecBestInc;bcCountMastSol;bcCountCg;bcCountSpSol;bcCountCol;bcCountCutInMaster;bcTimeMastMPsol;bcTimeColGen;bcTimeCutSeparation;bcTimeAddCutToMaster;bcTimeRedCostFixAndEnum;bcTimeRootEval;bcTimeBaP;bcMain;rootGap;bestGap;bestSolKnown;Improv;PostProcWaitingTime;PostProcConsolidation;ComputedSolVal
/SetG/c201.txt;0;1000000.000000;true;0.000000;1;555.651;555.651;555.651;75;79;158;2164;41;18.830;234.512;0.000;0.000;0.000;292.646;235.691;292;0.000;0.000;1389.300;-833.649;0.000;false;554.204
/SetG/c202.txt;0;1000000.000000;true;0.000000;1;520.087;520.087;520.087;156;178;356;5162;131;131.367;6085.225;0.000;33.000;158.537;6360.164;6288.164;6361;0.000;0.000;1305.000;-784.913;0.000;false;518.641
/SetG/c203.txt;0;1000000.000000;true;0.000000;1;516.461;516.461;516.461;167;188;376;5283;99;104.366;9270.792;0.000;12.000;228.501;9617.241;9521.667;9617;0.000;0.000;1272.700;-756.239;0.000;false;515.015
/SetG/c204.txt;0;1000000.000000;true;0.000000;27;505.950;511.872;511.872;4496;4083;8166;141026;1729;15885.618;378572.934;448.000;1212.000;21919.728;24255.263;418949.326;419088;0.012;0.000;1237.900;-726.028;0.000;false;510.426
/SetG/c205.txt;0;1000000.000000;true;0.000000;1;553.101;553.101;553.101;128;148;296;4557;112;110.453;822.306;0.000;18.000;49.031;1005.729;919.832;1006;-0.000;-0.000;1312.100;-758.999;0.000;false;551.655
/SetG/c206.txt;0;1000000.000000;true;0.000000;3;549.635;553.101;553.101;562;530;1060;25221;1109;3166.237;9290.843;76.000;1078.000;588.729;5841.453;12944.971;13008;0.006;0.000;1312.600;-759.499;0.000;false;551.655
/SetG/c207.txt;0;1000000.000000;true;0.000000;3;539.970;549.519;549.519;558;547;1094;20886;201;1592.534;13471.719;30.000;60.000;775.752;6371.138;15349.692;15414;0.018;0.000;1280.400;-730.881;0.000;false;548.073
/SetG/c208.txt;0;1000000.000000;true;0.000000;1;520.560;520.560;520.560;160;174;348;7307;107;217.602;2492.457;16.000;33.000;102.103;2754.834;2697.670;2758;0.000;0.000;1278.300;-757.740;0.000;false;519.114
/SetG/r101.txt;0;1000000.000000;true;0.000000;1;1122.173;1122.173;1122.173;20;24;48;1788;41;1.749;160.588;0.000;0.000;24.082;425.734;192.389;425;0.000;0.000;2333.500;-1211.327;0.000;false;1121.716
/SetG/r102.txt;0;1000000.000000;true;0.000000;1;1025.015;1025.015;1025.015;37;47;94;914;181;4.860;786.007;29.000;6.000;110.494;1195.402;945.338;1196;0.000;0.000;2136.800;-1111.785;0.000;false;1024.557
/SetG/r103.txt;0;1000000.000000;true;0.000000;3;878.134;878.755;878.755;153;150;300;5441;692;37.447;8083.912;114.000;47.000;1031.114;4830.595;9832.266;10165;0.001;0.000;1942.700;-1063.945;0.000;false;878.298
/SetG/r104.txt;0;1000000.000000;true;0.000000;1;815.826;815.826;815.826;41;47;94;1036;85;7.531;2960.160;0.000;1.000;430.026;3809.574;3409.931;3810;0.000;0.000;1777.200;-961.374;0.000;false;815.368
/SetG/r105.txt;0;1000000.000000;true;0.000000;3;976.227;976.482;976.482;112;115;230;5128;630;14.908;2674.253;135.000;18.000;133.277;1397.582;3084.608;3343;0.000;0.000;2096.800;-1120.318;0.000;false;976.025
/SetG/r106.txt;0;1000000.000000;true;0.000000;1;889.193;889.193;889.193;82;115;230;1325;926;19.066;3325.724;171.000;54.000;153.840;4060.260;3772.916;4061;0.000;0.000;1992.400;-1103.207;0.000;false;888.736
